id,speaker,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,dic,i,we,you,number,drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
1,b,Awesome—what was your name?,1,5,1,99,,99,5,80,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,20,0,20,20,0,0,0,0,40,0,0,0,0,0,0,0,20,0,0
2,d,It's Mason.,1,2,1,,,,2,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
3,b,"Mason, how's it going?",1,4,1,,99,,4,50,0,0,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
4,d,"It's going well, thank you.",1,5,1,99,63.35,99,5,100,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,40,20,20,20,0,0,20,0,0,20,20
5,b,"do you have a car in stock, new or used?",1,10,39.7,89.5,98.38,99,10,40,0,0,10,0,0,0,0,0,30,0,20,0,10,0,10,0,10,0,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0
6,d,It's brand new. It's in transit but we have an identical one in-store.,1,13,4.85,40.06,98.89,99,6.5,53.85,0,7.69,0,7.69,7.69,7.69,0,0,38.46,0,15.38,0,0,0,0,0,15.38,0,7.69,7.69,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,15.38,0
7,b,Perfect. I've driven it. I'm in the bay Area and want the best price.,1,14,35.59,1,72.58,98.65,4.67,35.71,14.29,0,0,0,7.14,0,7.14,0,28.57,0,14.29,0,0,7.14,0,7.14,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0
8,d,I'll text you the link; the price is listed.,1,9,33.38,92.24,10.18,,9,44.44,11.11,0,11.11,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,11.11,0,0,11.11,11.11
9,b,What discount do you have?,1,5,1,99,,,5,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
10,d,"MSRP is $50,034. We're selling it for $48,429 before tax. Lease, finance, or cash?",1,14,18.12,79.51,24.32,,4.67,42.86,0,7.14,0,14.29,7.14,7.14,0,0,28.57,0,7.14,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,0,14.29,0
11,b,Probably finance. Maybe lease.,1,4,1,,,,2,50,0,0,0,0,0,0,0,0,50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,d,There's a $500 lease rebate.,1,5,39.7,,63.35,,5,40,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
13,b,Run numbers for both.,1,4,99,,89.39,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,d,Are you only looking for silver?,1,6,10.19,99,,,6,33.33,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0
15,b,"Ideally silver, bonus if it has premium package.",1,8,5.64,1.71,1,99,8,50,0,0,0,0,0,0,0,0,37.5,0,25,0,0,12.5,12.5,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0
16,d,Premium units are spoken for. Let me price you a gray one.,1,12,73.36,84.23,3.81,,6,41.67,8.33,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,8.33,0,0,8.33,0
17,b,That's fine.,1,2,1,,,99,2,100,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
18,d,"It has a $2,000 discount, ACC, heated rear seats, black/red interior.",1,12,73.36,,39.59,,12,16.67,0,0,0,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0
19,b,"Okay, text it to me and call me back.",1,9,10.19,1,99,,9,44.44,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,22.22,0,0,0,0,22.22,0,0,0,0
20,d,Will do.,1,2,1,,,,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21,b,Want to set an appointment?,1,5,99,,1,,5,20,0,0,0,0,0,0,0,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,d,Let's look at numbers first.,1,5,39.7,99,,,5,40,0,20,0,20,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0
23,b,"Could we do $3,000 off?",1,5,3.8,99,1,,5,60,0,20,0,20,20,20,0,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
24,d,"No—one-price store, pre-discounted. but lease-to-buy can save $3–4K.",1,10,15.41,1,1,,5,50,0,0,0,20,0,0,0,0,30,10,20,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
25,b,So around $44K before tax?,1,5,3.8,,99,,5,40,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
26,d,Yes. I did one like that today.,1,7,18.12,1,97.09,,3.5,71.43,14.29,0,0,14.29,0,0,0,0,42.86,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,14.29,0
