id,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
1,This is John. How can I help?,1,7,1,1,24.32,99,3.5,71.43,14.29,0,0,0,14.29,14.29,0,0,42.86,0,28.57,14.29,14.29,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,14.29,14.29,14.29,0,0,0,0,0,0,28.57,0
2,"Hey John, how's it going?",1,5,1,,99,,5,60,0,0,0,0,0,0,0,0,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,20,20
3,Good — how are you?,1,4,1,99,89.39,99,4,100,0,0,25,0,0,0,0,0,50,0,25,25,25,0,0,0,0,0,25,25,0,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0
4,Doing well. I want to check interior trim on a 2025 X5.,1,12,89.52,6.61,3.81,99,6,41.67,8.33,0,0,16.67,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,What's the price? That's the easiest way for me to find it.,1,12,49.68,6.61,89.39,99,6,41.67,8.33,0,0,0,0,0,0,0,25,0,8.33,8.33,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
6,Perfect — here's the price.,1,4,26.1,,,99,4,50,0,0,0,0,0,0,0,0,50,0,25,0,0,0,0,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
7,Got it.,1,2,1,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,I'm in Baltimore. Local dealer isn't giving me a good deal. I'm trying to get something competitive.,1,17,16.49,1,97.97,95.42,5.67,47.06,17.65,0,0,0,11.76,0,11.76,5.88,29.41,0,17.65,0,0,5.88,5.88,0,5.88,0,5.88,5.88,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,0
9,What's a good email?,1,4,26.1,,,99,4,75,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,25,0,25,25,0,0,0,0,25,25,0,0,0,0,25,0,0,25,0
10,"Text is better, but I can give email.",1,8,1,1,15.38,99,8,100,12.5,0,0,0,12.5,0,12.5,0,50,0,25,0,0,12.5,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,37.5,37.5,0,0,0,0,25,0,0,37.5,0
11,Client advisors send numbers via email first.,1,7,99,99,,,7,57.14,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,14.29,0,0,0,0,14.29,0,0,0,0
12,That's fine.,1,2,1,,,99,2,100,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
13,Is this a purchase or lease?,1,6,10.19,1,39.59,,6,33.33,0,0,0,0,0,0,0,0,33.33,0,16.67,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
14,Lease.,1,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Miles per year?,1,3,99,,99,,3,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0
16,"12,000.00",1,1,,,,,1,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Minimal down?,1,2,99,,99,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Yes — also show $5K down.,1,5,39.7,,63.35,,5,40,0,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Are you buying two BMWs?,1,5,3.8,99,,,5,60,0,0,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0
20,Possibly — would the second get loyalty?,1,6,49.68,,1,99,6,66.67,0,0,0,16.67,16.67,16.67,0,0,33.33,0,33.33,0,0,16.67,16.67,0,0,0,16.67,16.67,0,0,0,0,0,0,0,16.67,16.67,16.67,0,0,0,0,0,0,0,0
21,Not sure — maybe same day.,1,5,3.8,1,99,,5,100,0,0,0,0,0,0,0,0,100,0,80,0,0,0,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
22,"The second is an X1 M35i, specific color combo.",1,9,98.16,,,,9,44.44,0,0,0,33.33,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0
23,Okay — I'll text you. Reply YES to opt in.,1,9,66.04,92.24,77.17,,4.5,55.56,11.11,0,11.11,0,0,0,0,0,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,22.22,0,0,0,0,22.22,0,0,0,11.11
24,Sounds good.,1,2,,,,99,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Narrator explains the client wants a very specific build.,1,9,98.16,92.24,1,,9,33.33,0,0,0,0,0,0,0,0,22.22,0,22.22,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,0,0,0,22.22,11.11
26,Did you get my text?,1,5,1,99,63.35,,5,80,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0,20,0,20,0,0
27,"Yes — sorry, I was scrolling TikTok.",1,6,10.19,1,39.59,,6,66.67,16.67,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,16.67,0,0,0,0,0,16.67,0,0
28,What's your target payment?,1,4,1,99,,,4,50,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0
29,"$1,250 a month.",1,3,99,,99,,3,66.67,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0
30,With how much down?,1,4,99,,99,,4,25,0,0,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Preferably no more than $5K. Local deal was close with $3,500 down.",1,12,89.52,1,99,,6,58.33,0,0,0,16.67,0,0,0,0,33.33,8.33,16.67,8.33,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0
32,Okay — I'll work numbers.,1,4,1,1,89.39,,4,50,25,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
33,Thank you.,1,2,1,99,,99,2,100,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,100,50,50,50,0,0,50,0,0,0,0
34,"Hey Jordan, I'm looking for a car in stock.",1,9,98.16,2.75,77.17,,9,22.22,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,11.11,0,0,11.11,0
35,New or pre-owned?,1,3,10.19,1,99,99,3,66.67,0,0,0,0,0,0,0,0,66.67,0,33.33,0,0,0,33.33,0,33.33,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0
36,New — 2024 BMW X1 M35i.,1,5,,,63.35,99,5,80,0,0,0,60,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
37,White one? Says in transit — available.,1,6,99,,39.59,,3,33.33,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,16.67,0,0,16.67,0
38,Great. When will it be there?,1,6,1,,99,99,3,50,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67
39,Checking for deposits… It's still available.,1,6,10.19,,,,3,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
40,Great. I'm in Baltimore — do you work with out-of-state buyers?,1,10,39.7,89.5,63.35,99,5,40,10,0,10,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0
41,Yes — shipping at your expense.,1,5,89.52,99,,,5,40,0,0,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
42,"I prefer your white one. If you can beat or match my local deal, I'll buy today.",1,17,1,12.77,99,,8.5,64.71,17.65,0,11.76,5.88,0,0,0,0,35.29,0,23.53,5.88,0,11.76,11.76,0,11.76,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,5.88,0,11.76,5.88
43,I can do everything over the phone.,1,7,18.12,1,24.32,,7,57.14,14.29,0,0,0,0,0,0,0,28.57,14.29,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,14.29,0
44,Are you leasing?,1,3,1,99,,,3,66.67,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0
