id,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
1,"Hey Tommy, this is Glen from Toyota. How are you doing?",1,11,1.5,99,5.07,,5.5,45.45,0,0,9.09,0,0,0,0,0,27.27,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,0,0,18.18,0
2,"Hey man, I'm doing well. I'm hoping you can help me out. I'm trying to make my life a little easier and buy a car without having to drive to Arizona, but here I am calling to see if any local dealerships will do a crazy deal for me.",1,49,27.39,1,78.4,99,16.33,53.06,14.29,0,2.04,0,4.08,2.04,2.04,0,24.49,0,16.33,0,2.04,6.12,6.12,0,6.12,0,10.2,8.16,0,4.08,2.04,0,0,0,0,10.2,4.08,2.04,0,0,0,2.04,0,0,10.2,6.12
3,Where are you driving from?,1,5,3.8,99,99,,5,40,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0
4,San Diego. I'm in San Diego right now.,1,8,26.1,1.71,99,,4,25,12.5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,25,0
5,Got it. So the Arizona store is giving you a crazy number?,1,12,26.1,98.75,,,6,25,0,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0
6,"Crazy number, yeah. They're doing $4,170 off plus tax, title, and license, with no add-ons.",1,15,39.7,40.06,,,7.5,26.67,0,0,0,6.67,0,0,0,0,13.33,6.67,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,6.67,0
7,Damn.,1,1,,1,,,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"I know — $4,170.",1,3,10.19,1,99,,3,100,33.33,0,0,33.33,0,0,0,0,33.33,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Has anyone matched it yet?,1,5,1,99,1,,5,60,0,0,0,0,0,0,0,0,60,0,40,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,20,0
10,"I've only called three dealerships. The other two said they'd call me back, and you're the first person who actually called me back.",1,23,2.08,65.68,92.58,,11.5,69.57,13.04,0,4.35,13.04,0,0,0,0,30.43,0,8.7,0,0,0,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,34.78,17.39,0,0,0,0,17.39,0,17.39,4.35,0
11,What's the MSRP on that car?,1,6,49.68,,,,6,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
12,"Give me one second... It is a Premium trim. The MSRP is $57,170.",1,13,53.56,7.93,2.93,,4.33,53.85,7.69,0,0,23.08,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,23.08,0
13,"$57,170?",1,1,,,,,1,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Sorry, I think I wrote the wrong one. The correct MSRP is $56,475.",1,13,74.95,1,81.58,1,6.5,69.23,15.38,0,0,15.38,0,0,0,0,23.08,0,7.69,7.69,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,23.08,23.08,7.69,0,0,7.69,7.69,0,7.69,7.69,0
15,So it's basically apples to apples?,1,6,1,,,,6,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0
16,Yeah. Same build.,1,3,,1,99,,1.5,33.33,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Let me look at the invoice. I don't know if you knew this, but it's Memorial Day, and I heard we're giving cars away.",1,24,1.39,6.61,99,,12,54.17,12.5,4.17,4.17,0,4.17,4.17,0,0,33.33,0,16.67,8.33,0,0,4.17,0,8.33,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,4.17,8.33,12.5,0
18,That's what I heard. Everyone says you're giving them away.,1,10,1,99,63.35,,5,70,10,0,10,0,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,10,0,10,30,0
19,"We are doing good deals, but I don't know about $4,100 off. I can provide you a quote. I have one from earlier this month, but I can send you an updated one.",1,33,4.19,23.94,86.68,67.94,11,66.67,12.12,3.03,6.06,9.09,3.03,3.03,0,0,33.33,0,15.15,3.03,0,6.06,0,0,6.06,0,3.03,3.03,0,3.03,3.03,0,0,0,0,12.12,3.03,0,0,0,0,0,9.09,3.03,15.15,0
20,"Yeah, email it to me so I can bring it up to my GSM. It sounds like I'm going to have to go to the highest decision-maker to get close to that number.",1,33,71.44,1.92,98.58,,16.5,36.36,12.12,0,0,0,0,0,0,0,9.09,0,6.06,3.03,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,6.06,0,0,0,0,3.03,0,0,6.06,12.12
21,"If you can email me the quote you received, I'll send you a text with my email so you can forward it. Then I'll present it to my GSM and see what we can do so you don't have to drive all the way to Arizona.",1,46,1,91.69,29.9,,23,50,10.87,2.17,10.87,0,2.17,2.17,0,0,17.39,2.17,8.7,0,0,6.52,2.17,0,2.17,0,0,0,0,0,0,0,0,0,0,19.57,6.52,0,0,0,0,6.52,2.17,2.17,10.87,4.35
22,"Perfect. Send me your email, and I’ll send the quote.",1,10,3.8,40.06,63.35,99,5,50,20,0,10,0,0,0,0,0,20,0,10,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0,0,20,10,0,0,0,0,10,0,0,0,10
23,Sounds good. Talk soon.,1,4,26.1,,89.39,99,2,75,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,25,0,25,25,0,0,0,0,25,25,0,0,0,0,25,25,0,0,25
