id,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
1,Hello.,1,1,,,,99,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,100,100,0,100,0,0,100,0,0,0,0
2,"Hello, looking to speak with Tommy.",1,6,99,,,99,6,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,33.33,33.33,0,16.67,0,0,33.33,0,0,0,0
3,This is him.,1,3,1,99,1,,3,66.67,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0
4,"Hey Tommy, this is John. How are you?",1,8,1,99,15.38,,4,62.5,0,0,12.5,0,0,0,0,0,37.5,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,12.5,0,0,25,0
5,Doing well. How about yourself?,1,5,1,99,63.35,99,2.5,60,0,0,20,0,0,0,0,0,20,0,20,20,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
6,I'm doing good. Looks like you're after a TRD Pro 4Runner in Terra.,1,13,53.56,81.78,81.58,99,6.5,46.15,7.69,0,7.69,7.69,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,7.69,7.69,0,7.69,7.69,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,23.08,0
7,Yes.,1,1,,,,,1,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,We have one available. It's in transit; arriving in about two weeks.,1,12,49.68,98.75,99,,6,41.67,0,8.33,0,16.67,8.33,8.33,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,8.33,0
9,Okay. What numbers would you be on it?,1,8,1,99,1,,4,25,0,0,12.5,0,0,0,0,0,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0
10,"TRD Pros are hard to come by, last of the gen, so they'll be MSRP.",1,15,59.67,77.41,63.35,,15,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,6.67,6.67
