id,text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Dic,i,we,you,number,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,Social,socbehav,prosocial,polite,conflict,moral,comm,time,focuspast,focuspresent,focusfuture
1,"Hello, this is KJ.",1,4,1,,,99,4,50,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,25,25,0,25,0,0,25,0,0,25,0
2,You have the pleasure of speaking to Tommy. How's it going?,1,11,45.12,99,50.45,99,5.5,45.45,0,0,9.09,0,0,0,0,0,9.09,0,9.09,9.09,9.09,0,0,0,0,0,9.09,9.09,0,9.09,9.09,0,0,0,0,18.18,9.09,0,0,0,0,9.09,0,0,9.09,9.09
3,"It's going very good, Tommy. How are you?",1,8,1,99,89.39,99,4,75,0,0,12.5,0,0,0,0,0,37.5,0,12.5,12.5,12.5,0,0,0,0,0,12.5,12.5,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,25,12.5
4,I am living the dream. I'm hoping you can tell me if a car is available.,1,16,1.97,1.71,54.55,96.74,8,62.5,18.75,0,6.25,0,0,0,0,0,37.5,0,18.75,0,0,12.5,12.5,0,6.25,0,6.25,6.25,0,6.25,6.25,0,0,0,0,12.5,6.25,0,0,0,0,6.25,0,0,25,6.25
5,Of course. What vehicle are we looking at?,1,8,62.1,99,,,4,50,0,12.5,0,0,12.5,12.5,0,0,37.5,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0
6,The 2024 Honda CR-V Sport Hybrid.,1,6,99,,,,6,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Okay, yes sir. I just see the stock now. Are you planning on coming to take a look at it?",1,20,80.96,89.5,89.39,,6.67,35,5,0,5,0,10,0,5,5,20,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,5,0,0,0,5,0,10,5
8,"I've already driven one. I know it's the car I want. I'm really just trying to get the best pricing. I'm hoping to buy one tomorrow. I don't want to bother you guys tonight, but since you're my local dealership, I'm hoping we can get some numbers so I can come in early in the morning and pick it up.",1,60,6.39,10.48,96.79,72.45,12,58.33,15,1.67,3.33,3.33,5,1.67,3.33,0,38.33,0,18.33,1.67,1.67,11.67,3.33,1.67,1.67,0,3.33,3.33,0,3.33,3.33,0,0,0,0,8.33,1.67,0,0,0,0,0,10,3.33,13.33,5
9,"Of course, no problem. Perfect. What time were you planning on coming tomorrow?",1,13,53.56,81.78,99,99,4.33,76.92,0,0,7.69,0,7.69,0,7.69,0,69.23,7.69,38.46,7.69,0,0,0,23.08,0,0,7.69,7.69,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,15.38,7.69,0,15.38
10,"If we can agree on numbers, I can come right at 9 a.m.",1,14,56.86,40.06,24.32,,14,50,7.14,7.14,0,7.14,7.14,7.14,0,0,21.43,0,21.43,0,0,14.29,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,0,0,0,0,0,0,14.29,0
